# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
57.650 -2.20  3 6.41 3.625  0.76  9 0.82  1.354  1.212  1.410  3.102 16.712    0.041   -0.005   57.53  -99.40  -41.40  -68.94 -1.17   6.30000   0.30000  0.094 -2.881
64.610 -2.50  3 6.61 3.608  0.47  9 0.82  1.542  1.227  1.692  3.496 16.674    0.076   -0.081 -106.38  -65.98 -347.97  -42.79 -2.24   6.30000   0.30000  0.094 -3.426
68.990 -1.40  3 6.08 3.654  1.29  9 0.82  1.156  0.570  1.207  2.717 17.972    0.052   -0.041  -59.40  -74.54 -210.65  -25.68 -2.59   6.30000   0.30000  0.094 -1.845
14.750 -2.00  3 6.32 3.634  0.91  9 0.82  1.299  0.965  1.361  2.967 13.999   -0.062   -0.173 -162.94  120.93 -133.73  102.98 -1.71   8.10000  -3.10000  0.091 -2.600
30.410 -2.50  3 6.61 3.608  0.47  9 0.82  1.536  1.236  1.680  3.487 15.072    0.121   -0.179 -299.68   22.38 -402.19  156.45 -2.17   8.10000  -3.10000  0.091 -3.426
47.670 -1.20  3 6.01 3.660  1.41  9 0.82  1.094  0.489  1.156  2.639 17.277    0.156   -0.154 -282.75  -87.44 -555.98   91.32 -2.66   8.10000  -3.10000  0.091 -1.610
59.050 -1.60  3 6.15 3.648  1.17  9 0.82  1.237  0.935  1.207  2.770 17.366   -0.064   -0.023 -127.36  202.90   -7.04  103.71 -1.17   8.10000  -3.10000  0.091 -2.087
70.310 -2.00  3 6.32 3.634  0.91  9 0.82  1.311  1.182  1.326  2.957 17.291    0.041   -0.064 -127.65    5.95 -283.21   20.36 -0.91   8.10000  -3.10000  0.091 -2.600
 8.750 -2.40  3 6.52 3.616  0.60  9 0.82  1.453  1.141  1.579  3.315 12.388    0.386   -0.465  222.17  -79.43 -137.74 -294.86 -2.05   8.10000  -1.30000  0.092 -3.184
20.430 -1.20  3 6.01 3.660  1.41  9 0.82  1.125  0.607  1.135  2.628 15.497    0.063   -0.150 -126.70   39.09 -193.01   46.63 -1.89   8.10000  -1.30000  0.092 -1.610
22.410 -1.20  3 6.01 3.660  1.41  9 0.82  1.165  0.809  1.111  2.622 15.587    0.058   -0.177  -89.49   53.23 -210.12   -5.06 -1.08   8.10000  -1.30000  0.092 -1.610
38.890 -2.20  3 6.41 3.625  0.76  9 0.82  1.355  1.160  1.420  3.102 15.844    0.028   -0.155  -88.51  109.86 -278.97  -47.54 -1.36   8.10000  -1.30000  0.092 -2.881
52.790 -2.20  3 6.41 3.625  0.76  9 0.82  1.363  1.073  1.452  3.115 16.460    0.047   -0.095  -48.67   23.46 -261.06  -68.04 -1.74   8.10000  -1.30000  0.092 -2.881
60.050 -2.20  3 6.41 3.625  0.76  9 0.82  1.366  1.047  1.466  3.121 16.847    0.075   -0.053 -213.79  -74.51 -310.73  111.00 -1.88   8.10000  -1.30000  0.092 -2.881
15.650 -1.80  3 6.23 3.641  1.04  9 0.82  1.252  0.835  1.309  2.878 14.239    0.222   -0.170   50.63  -88.97 -156.64 -114.78 -1.90   8.10000   0.30000  0.094 -2.338
16.370 -1.80  3 6.23 3.641  1.04  9 0.82  1.258  0.893  1.290  2.870 14.414   -0.025   -0.233   19.05  100.76 -116.72  -97.84 -1.63   8.10000   0.30000  0.094 -2.338
17.750 -2.40  3 6.52 3.616  0.60  9 0.82  1.442  1.194  1.546  3.298 13.920    0.198   -0.035  -65.02 -116.86 -134.50   31.89 -1.75   8.10000   0.30000  0.094 -3.184
20.910 -2.00  3 6.32 3.634  0.91  9 0.82  1.307  1.159  1.325  2.960 14.711    0.118   -0.156   98.27  -43.14 -132.92 -166.24 -0.97   8.10000   0.30000  0.094 -2.600
29.310 -1.80  3 6.23 3.641  1.04  9 0.82  1.293  1.155  1.269  2.865 15.611    0.018   -0.114 -190.87   88.57 -212.67   95.13 -0.78   8.10000   0.30000  0.094 -2.338
29.570 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.964  1.363  2.970 15.379    0.000   -0.147  -75.79  113.21 -185.77  -26.62 -1.72   8.10000   0.30000  0.094 -2.600
45.530 -1.60  3 6.15 3.648  1.17  9 0.82  1.186  0.614  1.277  2.801 16.766    0.049   -0.098  -84.97   25.76 -248.50  -29.02 -2.86   8.10000   0.30000  0.094 -2.087
58.910 -1.40  3 6.08 3.654  1.29  9 0.82  1.172  0.644  1.194  2.709 17.460    0.045   -0.053  -78.05  -22.24 -207.68   -7.56 -2.12   8.10000   0.30000  0.094 -1.845
15.030 -2.50  3 6.61 3.608  0.47  9 0.82  1.505  1.316  1.616  3.450 13.488    0.090   -0.272 -238.09   82.98 -269.69  136.65 -1.67   9.90000  -3.10000  0.091 -3.426
24.750 -1.40  3 6.08 3.654  1.29  9 0.82  1.178  0.679  1.185  2.703 15.619    0.227   -0.318 -173.50  -12.09 -489.73   -3.89 -1.93   9.90000  -3.10000  0.091 -1.845
35.570 -1.40  3 6.08 3.654  1.29  9 0.82  1.196  0.773  1.164  2.691 16.540    0.061   -0.177  -47.13   67.82 -301.24  -81.99 -1.48   9.90000  -3.10000  0.091 -1.845
45.870 -2.40  3 6.52 3.616  0.60  9 0.82  1.446  1.168  1.560  3.303 16.000    0.028   -0.110 -170.19   97.33 -278.71   56.00 -1.89   9.90000  -3.10000  0.091 -3.184
66.350 -1.20  3 6.01 3.660  1.41  9 0.82  1.140  0.674  1.122  2.619 17.907    0.067    0.019 -148.93 -183.48 -117.64  150.96 -1.56   9.90000  -3.10000  0.091 -1.610
 8.450 -1.60  3 6.15 3.648  1.17  9 0.82  1.187  0.617  1.275  2.799 13.200    0.516   -0.596  -60.63  -47.71 -312.63  -57.90 -2.82   9.90000  -1.30000  0.092 -2.087
 9.750 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.925  1.379  2.976 13.032    0.443   -0.349  -41.37  -87.56 -245.63  -41.86 -1.91   9.90000  -1.30000  0.092 -2.600
