#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
13.1333,-20.9961,75,-23,-49,-24,21.4,130,-88
12.9621,-56.5778,119,-18,22,-33,15.1,5,72
13.1621,-12.9367,93,2,10,-13,15.0,-16,10
13.225,-0.3811,73,13,1,-9,5.4,-33,-29
13.5254,66.4353,106,-16,-26,3,-12.8,56,7
13.4187,43.3633,45,-41,-47,-22,-8.4,281,-127
13.2546,-30.3567,14,-36,-20,13,-13.3,622,32
13.4037,24.9328,157,29,-20,-3,-24.6,-18,-30
13.3017,-24.7769,74,-31,-16,6,-5.5,99,13
13.1021,-69.5036,61,18,-30,-8,29.5,5,-70
12.8525,-78.6439,59,-18,-61,16,22.3,173,-136
13.1179,-69.5028,41,16,-26,-12,29.4,2,-73
13.2529,-61.0769,75,-13,-17,-15,16.6,57,7
13.5383,20.0797,119,13,-15,-13,-5.6,-5,-41
12.5412,-83.7439,62,-51,3,10,-30.3,141,28
13.7467,24.1,29,33,-5,-14,-8.7,-185,-181
13.2821,-74.6514,86,-75,-66,-24,27.6,243,21
13.7788,23.4161,79,1,8,18,-6.8,-14,46
13.5988,-48.9483,86,0,-30,-12,21.0,41,-45
13.3721,-70.9114,156,-29,-21,6,-2.8,49,-7
13.8117,-25.6056,124,-34,-19,9,-7.9,67,5
14.2296,68.7756,60,-21,-26,-11,-11.1,111,-36
14.0721,52.4911,41,-33,-21,1,0.3,201,1
14.0546,46.6539,310,14,-8,0,-14.0,-5,-3
13.8767,-12.5522,98,-44,-17,-1,4.1,98,20
13.5721,-69.0867,143,-14,-2,1,-4.7,19,6
13.7992,-47.4058,53,47,-36,-21,39.2,-81,-179
13.5925,-69.7431,127,5,5,1,-1.5,-11,1
13.6671,-65.46,78,32,-15,-9,25.2,-51,-50
14.0087,-3.7378,145,-15,-14,-2,1.3,29,-6
14.0346,-8.0233,108,7,-10,-8,3.8,0,-28
14.0154,-20.7017,60,7,12,6,-5.2,-43,23
