#oid vrad verr R
199 1.6183 3.229 0.94
974 131.5895 5.65 0.79
363 273.4367 3.543 0.91
202 2.169 3.841 0.94
446 7.7654 10.709 0.84
663 85.4507 4.894 0.92
573 -8.1602 4.226 0.93
336 -37.4132 2.799 0.95
319 66.2089 4.347 0.93
578 4.9467 3.714 0.94
149 155.4078 4.608 0.92
357 -4.6002 3.759 0.95
604 254.935 11.716 0.76
428 167.7623 2.931 0.94
1 55.0217 2.931 0.94
882 45.3618 4.488 0.93
218 51.6756 8.877 0.85
659 41.5069 4.007 0.93
1032 33.2999 9.348 0.79
526 -25.3622 7.34 0.84
762 169.6992 7.026 0.76
432 76.9888 6.003 0.8
1014 91.4262 6.39 0.89
572 -11.387 3.175 0.94
260 18.1623 6.034 0.91
31 -4.7542 3.026 0.95
732 286.8524 7.205 0.71
768 253.9332 9.013 0.77
610 5.9291 3.957 0.93
529 32.9077 9.197 0.89
791 73.0375 6.18 0.85
553 47.4049 5.173 0.91
65 141.3217 5.124 0.87
506 34.9007 3.192 0.92
483 36.4676 1.877 0.95
69 38.0886 3.937 0.85
244 56.6808 2.641 0.94
543 -12.61 2.982 0.95
612 42.1693 4.266 0.9
594 -23.8806 3.871 0.93
608 69.8345 5.137 0.91
618 -16.7901 9.851 0.68
616 -23.5347 2.818 0.95
671 2.8865 2.696 0.95
399 50.7748 7.259 0.85
750 3.6266 5.199 0.84
822 90.9439 18.899 0.76
966 39.6217 16.885 0.73
474 -10.9801 5.349 0.91
485 8.5798 4.729 0.91
294 -11.9642 2.724 0.96
715 -45.7765 12.393 0.6
330 3.8733 3.314 0.95
645 39.6448 3.306 0.92
742 100.6286 38.299 0.56
654 38.8895 11.734 0.8
720 -11.6649 9.881 0.61
664 -40.1283 2.221 0.95
681 34.8365 2.863 0.95
229 -10.0971 3.806 0.95
928 85.8554 3.989 0.91
875 -51.2902 31.974 0.62
793 349.0806 19.109 0.72
117 126.6773 2.49 0.96
835 89.2027 3.455 0.91
494 6.89 5.375 0.92
799 30.0121 7.929 0.89
21 8.9385 6.284 0.91
577 -61.2024 11.121 0.74
597 53.7354 4.357 0.92
753 19.8184 36.766 0.19
278 -38.1976 2.98 0.93
759 56.2854 7.439 0.81
666 58.3733 2.926 0.88
789 15.1751 4.494 0.94
263 40.8094 3.589 0.93
801 89.9432 4.021 0.91
236 -56.8037 4.67 0.84
702 19.9316 25.46 0.63
779 86.724 13.095 0.54
240 29.4415 4.959 0.92
589 60.3632 5.318 0.91
299 21.259 3.219 0.93
790 -4076.597 162.512 0.14
830 43.5051 7.389 0.8
