# oid   ra              dec                verr     vgsr                  ew        b                    l                    u           g           r_cone       i            z            err_u         err_g         err_r         err_i         err_z         dered_u     dered_g     dered_r      dered_i      dered_z     
  81    162.136666667   -0.360572222222    5.464    -71.57399689941408    0.7034    49.65793635234295    250.82314795872375   18.961626   17.418884   16.79441     16.566952    16.457642    0.024557186   0.004904646   0.0044803233  0.004816385   0.009555429   18.75668    17.268087   16.68504     16.484018    16.398842   
  82    162.149458333   -0.6464            6.083    -60.130098937988265   0.3996    49.463006362730404   251.14603237983923   19.263502   17.9761     17.438581    17.220638    17.11006     0.031900186   0.006003599   0.005499142   0.0056476016  0.013332942   19.050734   17.819548   17.325037    17.13454     17.049015   
  83    162.128958333   -0.610627777778    3.238    -164.24069997863768   0.8355    49.47421496246167    251.08496302860462   18.369244   16.363329   15.607831    15.356676    15.244598    0.014849569   0.0040810313  0.003637422   0.0036341548  0.005153716   18.15843    16.208214   15.495329    15.271369    15.184114   
  84    162.13525       -0.480105555556    4.354    -186.03960033569336   0.8092    49.57178227706782    250.95105170727427   20.225214   17.926256   16.993488    16.641153    16.479109    0.045784537   0.0057687536  0.0046568466  0.0045619723  0.008091138   20.0185     17.774158   16.883173    16.557505    16.419802   
  85    162.103458333   -0.0235472222222   2.89     -162.29020032653807   0.9105    49.87378585426024    250.41912807829647   19.472687   17.206484   16.292664    15.973829    15.783522    0.026150644   0.0048177005  0.004121734   0.0041062078  0.006689071   19.269745   17.057161   16.184362    15.891708    15.725297   
  86    162.124916667   -0.186233333333    1.973    29.025904638671875    0.3174    49.773577059008645   250.6205501377331    18.754147   16.77808    15.963196    15.620737    15.406283    0.016758017   0.004438071   0.0039434875  0.0038636571  0.0059065535  18.548895   16.627058   15.853662    15.537681    15.347396   
  87    162.0965        -0.762186111111    3.309    -150.53649966430666   0.218     49.34319348068346    251.21221755105353   18.244053   16.959133   16.430952    16.209074    16.084858    0.016596997   0.0041907914  0.0041320175  0.0043374156  0.0073611033  18.032532   16.8035     16.318073    16.123482    16.024172   
  88    162.098166667   -0.102644444444    3.214    -129.45910003967285   0.6825    49.81402335062788    250.49989612027446   19.23588    17.120417   16.337254    15.99865     15.897604    0.022719426   0.0047655236  0.00422767    0.0041262023  0.0070813266  19.032745   16.970953   16.22885     15.91645     15.839323   
  89    162.066625      -0.552872222222    5.133    -125.16370049438478   0.7047    49.47177187605575    250.954254451025     18.732883   16.97355    16.3206      16.066502    15.949734    0.01790665    0.00444264    0.0040456406  0.004080516   0.006575059   18.5262     16.821474   16.210302    15.982865    15.890435   
  90    162.054333333   -0.466711111111    3.216    -138.45410017318727   0.8072    49.524529713826766   250.84767483440885   18.930643   17.237583   16.592455    16.354939    16.224117    0.020063771   0.004754494   0.004324517   0.004277281   0.0074270675  18.7281     17.088554   16.484367    16.272978    16.166006   
  91    162.0565        -0.360261111111    2.917    -138.84939981079103   0.9076    49.60180980047277    250.73475096861802   18.884039   16.844625   16.024103    15.717409    15.5658865   0.022995843   0.0040812218  0.0038021773  0.004121623   0.0060197734  18.68409    16.697504   15.917398    15.636498    15.50852    
  92    162.008708333   -0.740255555556    3.511    -123.29600069580079   0.9373    49.29748013194275    251.09241054539712   19.777767   17.716282   16.936434    16.669996    16.546469    0.043983456   0.005549081   0.0046870178  0.0047847815  0.009594371   19.569656   17.563156   16.825375    16.585783    16.486761   
  93    161.996333333   -0.777186111111    9.432    -82.80989849243164    0.7742    49.26243711205635    251.11846693466282   19.858118   17.994755   17.270767    16.99168     16.852068    0.047136083   0.006327753   0.005195631   0.005266103   0.011548216   19.650654   17.842106   17.160053    16.907728    16.792545   
