# Dist     Mv     CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy      Vr       UU        VV        g-i                  WW        [Fe/H]   l           b      Av      Mbol     Vgsr          g                   
  1.136    6.2    5    5.75   3.726   4.65   8     0.71   0.74    0.15      0.852   1.968   16.548   0.253     0.3422000060081482    -1.594   -13.1    56.07     -51.6     0.7258119971752168   -43.76    -0.82    251.19999   49.3   0.081   5.982    -152.1        16.890200341701508  
  1.186    6.7    5    6.4    3.664   4.59   5     0.78   1.105   0.945     1.127   2.635   17.158   -0.237    0.5721500120162963    0.062    -2.23    -12.5     0.34      1.1330869618654251   -6.13     -0.25    251.19999   49.3   0.081   5.595    -141.23       17.73015095806122   
  1.186    6.0    5    6.2    3.697   4.52   7     0.82   0.938   0.634     0.941   2.235   16.463   -0.877    0.46694001471996305   -0.21    12.08    -38.59    -29.51    0.8576209774017334   -18.8     -0.21    251.19999   49.3   0.081   5.09     -126.92       16.929939358592033  
  1.186    5.7    5    6.0    3.712   4.51   7     0.85   0.853   0.45      0.896   2.097   16.233   -0.837    0.41338999068737026   -0.958   39.96    -22.1     -77.16    0.7909760409593583   -16.24    -0.28    251.19999   49.3   0.081   4.92     -99.04        16.646389792323113  
  1.186    6.6    5    6.12   3.705   4.67   8     0.68   0.859   0.431     0.911   2.147   16.952   -1.614    0.4171700171232223    0.11     128.41   -106.9    -99.28    0.8131910197734833   58.9      -0.56    251.19999   49.3   0.081   6.31     -10.589996    17.369169681429863  
  1.186    6.4    5    5.93   3.716   4.66   8     0.7    0.789   0.244     0.878   2.057   16.822   -0.448    0.3730699840784073    0.154    15.11    -28.72    -9.74     0.7643180310726165   4.04      -0.8     251.19999   49.3   0.081   6.148    -123.89       17.195070487618445  
  1.186    6.2    5    5.75   3.726   4.65   8     0.71   0.731   0.11      0.85    1.968   16.618   0.013     0.3365300039052963    -0.925   67.91    11.64     -80.09    0.7228500353097915   27.59     -0.96    251.19999   49.3   0.081   5.982    -71.09        16.954530034422874  
  1.236    6.6    5    6.3    3.669   4.59   6     0.76   1.11    0.999     1.102   2.592   17.087   -0.112    0.5753000090122223    -0.274   10.15    0.11      -19.9     1.0960619971752168   -2.79     -0.01    251.19999   49.3   0.081   5.56     -128.85       17.662299902200697  
  1.236    6.4    5    6.3    3.678   4.57   7     0.79   0.996   0.714     1.009   2.447   17.024   -1.812    0.503479994893074     0.027    35.25    -98.15    -49.36    0.958328916668892    -20.9     -0.6     251.19999   49.3   0.081   5.425    -103.75       17.527480162739753  
  1.236    6.5    5    6.3    3.673   4.58   6     0.81   1.052   0.863     1.055   2.52    16.985   -1.234    0.5387600288391113    0.501    -3.36    -74.85    4.18      1.0264549223184587   -21.78    -0.28    251.19999   49.3   0.081   5.46     -142.36       17.523760639190673  
  1.236    6.3    5    6.3    3.682   4.56   6     0.82   0.997   0.75      0.999   2.405   16.801   -0.741    0.504109986782074     -0.179   8.02     -33.41    -24.44    0.9435190190672875   -18.58    -0.34    251.19999   49.3   0.081   5.325    -130.98       17.305110581874846  
  1.236    6.2    5    6.2    3.687   4.59   7     0.85   0.988   0.747     0.985   2.355   16.684   -0.173    0.4984399846792221    0.179    -10.45   -11.51    11.45     0.922785021185875    -7.65     -0.21    251.19999   49.3   0.081   5.29     -149.45       17.182439999938012  
  1.236    5.4    5    5.8    3.728   4.48   7     0.89   0.795   0.368     0.85    1.95    16.037   -0.351    0.37685001051425937   -0.477   41.3     -12.49    -51.71    0.7228500353097915   8.92      -0.07    251.19999   49.3   0.081   4.651    -97.7         16.41385066664219   
  1.236    5.8    5    6.0    3.707   4.56   6     0.9    0.919   0.653     0.925   2.151   16.339   -0.049    0.45497001862525943   -0.108   -27.98   6.53      11.82     0.8339250176548958   -25.47    0.12     251.19999   49.3   0.081   5.02     -166.98       16.793970720529558  
  1.236    7.2    5    6.37   3.674   4.71   8     0.63   1.015   0.752     1.039   2.495   17.79    -1.591    0.5154499909877777    -0.682   51.09    -70.27    -86.29    1.0027590508461      -22.35    -0.6     251.19999   49.3   0.081   6.779    -87.91        18.305450906515123  
